Career (Small List),Exact Matched Careers
Fire Prevention Officer,Fire Prevention Officer
Home Guard,Home Guard
Insolvency Registrar,Insolvency Registrar
Master Official Referee and Registrar in Equity,Master Official Referee and Registrar in Equity
Women Patroller,Women Patroller
Police Constable,Police Constable
Probation Officer,Probation Officer
Sub-Inspector (Police),Sub-Inspector (Police)
"Warder, Jail","Warder, Jail"
Tracker,"Tracker, Tracker"
"Member, Industrial Tribunal","Member, Industrial Tribunal"
Advocate,Advocate
Copyright Clerk,Copyright Clerk
Legal Assistant,Legal Assistant
Gateman / Unarmed Security Guard,Gateman / Unarmed Security Guard
Security Officer,Security Officer
Watchman,Watchman
Calendarman,Calendarman
Advanced Pattern Maker (CAD/CAM),Advanced Pattern Maker (CAD/CAM)
Industrial Engineer Executive,Industrial Engineer Executive
QC Executive – Sewing Line,QC Executive – Sewing Line
Area Manager (Auto Components),Area Manager (Auto Components)
Automation Specialist,Automation Specialist
Equipment Designer,Equipment Designer
Executive - Proto Manufacturing,Executive - Proto Manufacturing
Industrial Engineer (Workstation Design),Industrial Engineer (Workstation Design)
Machine Shop Master Technician/Setter,Machine Shop Master Technician/Setter
Manager Heat Treatment Metallurgist,Manager Heat Treatment Metallurgist
Manager Manufacturing Quality Level 7,Manager Manufacturing Quality Level 7
Manager Supplier Quality Level 6,Manager Supplier Quality Level 6
Process Tryout Engineer Level 4,Process Tryout Engineer Level 4
Process Validation Executive,Process Validation Executive
Product Design Manager,Product Design Manager
Prototyping Manager,Prototyping Manager
Tool Room Operator/Technician,Tool Room Operator/Technician
CNC Programmer,"CNC Programmer, CNC Programmer"
"Manager, Manufacturing","Manager, Manufacturing, Manager, Manufacturing"
Turbine Mechanic,"Turbine Mechanic, Turbine Mechanic"
Methods Engineer,"Methods Engineer, Methods Engineer"
Millwright,"Millwright, Millwright"
Operator - Non-Conventional Electric Discharge Machine (Spark Erosion),"Operator - Non-Conventional Electric Discharge Machine (Spark Erosion), Operator - Non-Conventional Electric Discharge Machine (Spark Erosion)"
Production Engineer,"Production Engineer, Production Engineer"
Robotic Machine Operator,"Robotic Machine Operator, Robotic Machine Operator"
Service Engineer-Installation and Commissioning,"Service Engineer-Installation and Commissioning, Service Engineer-Installation and Commissioning"
Tool and Die Maker,"Tool and Die Maker, Tool and Die Maker"
"Working Proprietor, Manufacturing/Proprietor, Manufacturing","Working Proprietor, Manufacturing/Proprietor, Manufacturing"
Chemical Engineer - Paints and Varnish,Chemical Engineer - Paints and Varnish
CNC Programmer,"CNC Programmer, CNC Programmer"
Machine Designer,Machine Designer
Director Manufacturing,Director Manufacturing
"General Manager, Manufacturing","General Manager, Manufacturing"
Jig and Fixture Maker,Jig and Fixture Maker
"Manager, Manufacturing","Manager, Manufacturing, Manager, Manufacturing"
Methods Engineer,"Methods Engineer, Methods Engineer"
Millwright,"Millwright, Millwright"
Nuclear Plant Control Operator,"Nuclear Plant Control Operator, Nuclear Plant Control Operator"
Operator - Computer Numerically Controlled Electro Discharge Machine (Spark Erosion),Operator - Computer Numerically Controlled Electro Discharge Machine (Spark Erosion)
Production Engineer,"Production Engineer, Production Engineer"
Robotic Machine Operator,"Robotic Machine Operator, Robotic Machine Operator"
Senior MMAW (Manual Metal Arc Welding) SMAW (Shielded Metal Arc Welding) Welder,Senior MMAW (Manual Metal Arc Welding) SMAW (Shielded Metal Arc Welding) Welder
Tool Engineer,"Tool Engineer, Tool Engineer"
Tungsten Inert Gas (TIG) Welder Level 5,"Tungsten Inert Gas (TIG) Welder Level 5, Tungsten Inert Gas (TIG) Welder Level 5"
"Working Proprietor, Manufacturing","Working Proprietor, Manufacturing"
Assembly Operator-PLC,Assembly Operator-PLC
Design-for-Manufacture Engineer,Design-for-Manufacture Engineer
In-Process and Final Quality Engineer,In-Process and Final Quality Engineer
Machine Maintenance Technician,Machine Maintenance Technician
Mechanical Fitter,Mechanical Fitter
Quality Engineer,Quality Engineer
Gold Refiner,Gold Refiner
Mine Manager,Mine Manager
Metallurgist,Metallurgist
Quality Management System In-Charge,Quality Management System In-Charge
Chemical Process Operator (Radio Active Materials),Chemical Process Operator (Radio Active Materials)
"Mechanic, Maintenance, Chemical Plant/ Technician, Maintenance, Chemical Plant","Mechanic, Maintenance, Chemical Plant/ Technician, Maintenance, Chemical Plant"
"Process Man, Chemical","Process Man, Chemical"
Reactor Convertor Operator,Reactor Convertor Operator
Filter Pressman,Filter Pressman
Mill Technician,Mill Technician
"General Manager, Gas","General Manager, Gas"
"Manager, Gas","Manager, Gas"
"Supervisor and Foreman, Petroleum Refining and Related Activities","Supervisor and Foreman, Petroleum Refining and Related Activities"
"Roller, Second Hand, Strip Mill (Non- Ferrous Metal)","Roller, Second Hand, Strip Mill (Non- Ferrous Metal)"
Power Plant High Pressure Welder,Power Plant High Pressure Welder
Fitter - Shuttleless Weaving Machine Air-Jet,Fitter - Shuttleless Weaving Machine Air-Jet
Supervisor (Plant &amp; Machinery),Supervisor (Plant &amp; Machinery)
Assistant Designer - Madeups,Assistant Designer - Madeups
Factory Compliance Auditor,Factory Compliance Auditor
Framer-Computerized Embroidery Machine,Framer-Computerized Embroidery Machine
In-Line Checker,In-Line Checker
Line Supervisor Stitching,Line Supervisor Stitching
Sewing Machine Mechanic,Sewing Machine Mechanic
Pattern Master,Pattern Master
Pressman,"Pressman, Pressman"
Processing Supervisor (Dyeing &amp; Printing),Processing Supervisor (Dyeing &amp; Printing)
Production Supervisor - Sewing,Production Supervisor - Sewing
Quality Assessor,Quality Assessor
"Supervisors and Foremen, Textile Related Products","Supervisors and Foremen, Textile Related Products"
"Tailor, Tent (Machine)","Tailor, Tent (Machine)"
"Assembler, Automobile","Assembler, Automobile"
Assembly Line Machine Setter,Assembly Line Machine Setter
Assembly Line Supervisor,Assembly Line Supervisor
Auto Body Painting Technician L4,Auto Body Painting Technician L4
Auto Component Assembly Fitter,Auto Component Assembly Fitter
Automobile Designer,Automobile Designer
Body Shop In-Charge,Body Shop In-Charge
Body Technician Level 3,Body Technician Level 3
Body Technician Level 4,Body Technician Level 4
Casting Line In-charge,Casting Line In-charge
Casting Line Supervisor,Casting Line Supervisor
Casting Technician Sand Moulding,Casting Technician Sand Moulding
Casting Technician L3,Casting Technician L3
CNC Operator,CNC Operator
CNC Operator/Machining Technician Level 3,CNC Operator/Machining Technician Level 3
Die Designer,Die Designer
Engine Tester,Engine Tester
Forging Operator,Forging Operator
Forging Shop Shift In charge,Forging Shop Shift In charge
Forging Shop Supervisor,Forging Shop Supervisor
Heat Treatment Shop Supervisor,Heat Treatment Shop Supervisor
Heat Treatment Technician/Furnace Operator,Heat Treatment Technician/Furnace Operator
Machine Shop Supervisor,Machine Shop Supervisor
Machine Tool Operator,Machine Tool Operator
Machining Technician/CNC Operator L4,Machining Technician/CNC Operator L4
Maintenance Technician Electrical L4,Maintenance Technician Electrical L4
Maintenance Technician Electrical Level 3,Maintenance Technician Electrical Level 3
Maintenance Technician - Mechanical (L4),Maintenance Technician - Mechanical (L4)
Maintenance Technician-Mechanical L3,Maintenance Technician-Mechanical L3
Maintenance Technician-Service Workshop,Maintenance Technician-Service Workshop
Manager Maintenance Mechanical and Electrical,Manager Maintenance Mechanical and Electrical
Manager Material Testing,Manager Material Testing
Method Study Executive,Method Study Executive
"Moulder, General","Moulder, General"
Painting &amp; Surface Treatment Shift In Charge,Painting &amp; Surface Treatment Shift In Charge
Painting Supervisor,Painting Supervisor
PDC Casting Operator Level 4,PDC Casting Operator Level 4
PDI In-Charge,PDI In-Charge
PDI Supervisor,PDI Supervisor
Plastic Moulding Assistant/Helper,Plastic Moulding Assistant/Helper
Plastic Moulding Shift Incharge,Plastic Moulding Shift Incharge
Plastic Moulding Shop Supervisor,Plastic Moulding Shop Supervisor
Plastic Moulding Technician,Plastic Moulding Technician
Press Shop Operator Level 4,Press Shop Operator Level 4
Press Shop Shift In Charge,Press Shop Shift In Charge
Press Shop Supervisor,Press Shop Supervisor
Process Tryout Technician,Process Tryout Technician
QA Standards Incharge Level 5,QA Standards Incharge Level 5
QC Inspector Level 4,QC Inspector Level 4
Quality Controller,Quality Controller
Regional Parts Manager (RPM),Regional Parts Manager (RPM)
Repair Welder,Repair Welder
Sales Officer - Auto Components,Sales Officer - Auto Components
Soldering and Brazing Operator,Soldering and Brazing Operator
Spare Parts Operations Executive Level 5,Spare Parts Operations Executive Level 5
Super Finishing Technician,Super Finishing Technician
Surface Treatment Technician Level 4,Surface Treatment Technician Level 4
Tool Room Designer,Tool Room Designer
Tool Room Supervisor,Tool Room Supervisor
Vehicle Assembly Fitter,Vehicle Assembly Fitter
Warranty In-Charge,Warranty In-Charge
Welder L4,Welder L4
"Welder, Electric Arc","Welder, Electric Arc"
"Welder, Gas","Welder, Gas"
"Welder, Machine","Welder, Machine"
"Welder, Resistance","Welder, Resistance"
Welding Assistant,Welding Assistant
Welding Machine Setter,Welding Machine Setter
Welding Supervisor,Welding Supervisor
Welding Technician L3,Welding Technician L3
Workshop Manager,Workshop Manager
Ammonia Compressor Attendant,"Ammonia Compressor Attendant, Ammonia Compressor Attendant"
Armature Winder,"Armature Winder, Armature Winder"
Assembler Printing Machinery,"Assembler Printing Machinery, Assembler Printing Machinery"
"Assembler, Electrical Accessories","Assembler, Electrical Accessories, Assembler, Electrical Accessories"
Stationary Diesel Engine Assembler,Stationary Diesel Engine Assembler
"Assembler, Turbine and Steam Engine","Assembler, Turbine and Steam Engine, Assembler, Turbine and Steam Engine"
Boiler Supervisor,"Boiler Supervisor, Boiler Supervisor"
Breaker Tender,"Breaker Tender, Breaker Tender"
Calibration Technician,"Calibration Technician, Calibration Technician"
Cementer (Plastic),"Cementer (Plastic), Cementer (Plastic)"
Ceramic Technologist,"Ceramic Technologist, Ceramic Technologist"
"Chemical Engineer, Paints and Varnishes","Chemical Engineer, Paints and Varnishes"
CNC Operator - Grinding Machine Centre,"CNC Operator - Grinding Machine Centre, CNC Operator - Grinding Machine Centre"
CNC Operator-Turning,"CNC Operator-Turning, CNC Operator-Turning"
CNC Operator-Vertical Machining Centre,"CNC Operator-Vertical Machining Centre, CNC Operator-Vertical Machining Centre"
CNC Setter cum Operator-Vertcial Machining Centre,"CNC Setter cum Operator-Vertcial Machining Centre, CNC Setter cum Operator-Vertcial Machining Centre"
Cylinder Borer,"Cylinder Borer, Cylinder Borer"
Maintenance Fitter-Mechanical,"Maintenance Fitter-Mechanical, Maintenance Fitter-Mechanical"
Manual Metal Arc Welder,"Manual Metal Arc Welder, Manual Metal Arc Welder"
"Marker, Metal","Marker, Metal, Marker, Metal"
Pump Mechanic,Pump Mechanic
"Mechanic, Repairman (Domestic Appliances)","Mechanic, Repairman (Domestic Appliances), Mechanic, Repairman (Domestic Appliances)"
Machinist,"Machinist, Machinist"
Metal Bluer,"Metal Bluer, Metal Bluer"
MIG/MAG/GMAW Welder,"MIG/MAG/GMAW Welder, MIG/MAG/GMAW Welder"
Metal Stamper,"Metal Stamper, Metal Stamper"
"Moulder, Machine","Moulder, Machine, Moulder, Machine"
"Moulder, Vertical Pipe","Moulder, Vertical Pipe, Moulder, Vertical Pipe"
Operator – Conventional Milling,Operator – Conventional Milling
Operator – Conventional Turning,"Operator – Conventional Turning, Operator – Conventional Turning"
Operator Boring Machine,"Operator Boring Machine, Operator Boring Machine"
Packaging Engineer,"Packaging Engineer, Packaging Engineer"
Painting Technician (Spray Painting),"Painting Technician (Spray Painting), Painting Technician (Spray Painting)"
"Pattern Marker, Metal Foundry","Pattern Marker, Metal Foundry, Pattern Marker, Metal Foundry"
Planer,Planer
"Planer, Edge","Planer, Edge"
Plastic Fabricator,"Plastic Fabricator, Plastic Fabricator"
Power Hammer Operator,"Power Hammer Operator, Power Hammer Operator"
Power Plant Operator,"Power Plant Operator, Power Plant Operator"
"Power Press Operator, Metal","Power Press Operator, Metal, Power Press Operator, Metal"
Printing Technologist,"Printing Technologist, Printing Technologist"
"Quality Inspector - Forged, Casted, or Machined Components","Quality Inspector - Forged, Casted, or Machined Components"
Senior MMAW/SMAW Welder,Senior MMAW/SMAW Welder
Service Engineer - Breakdown Service,"Service Engineer - Breakdown Service, Service Engineer - Breakdown Service"
Service Engineer-Installation,Service Engineer-Installation
"Setter, Automatic Machine","Setter, Automatic Machine, Setter, Automatic Machine"
"Setter, Drop Forging Machine","Setter, Drop Forging Machine, Setter, Drop Forging Machine"
Sheet Metal Machine Operator,"Sheet Metal Machine Operator, Sheet Metal Machine Operator"
"Stationary Engine Driver, Internal Combustion","Stationary Engine Driver, Internal Combustion, Stationary Engine Driver, Internal Combustion"
"Stationary Engine Driver, Steam","Stationary Engine Driver, Steam, Stationary Engine Driver, Steam"
Stock House Foreman,"Stock House Foreman, Stock House Foreman"
Stud Welding Operator,Stud Welding Operator
"Supervisor and Foreman, Ceramics and Related Activities","Supervisor and Foreman, Ceramics and Related Activities, Supervisor and Foreman, Ceramics and Related Activities"
"Supervisor and Foreman, Glass Forming and Related Activities","Supervisor and Foreman, Glass Forming and Related Activities, Supervisor and Foreman, Glass Forming and Related Activities"
